CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,12,,          ,Begin Period,BP,,,,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,24,09:59,1,13,"LOJESKI, MATT",P003608   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,0,09:59,1,14,"SINGLETON, CHRIS",P006614   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,12,09:59,1,15,"DENMON, MARCUS",P004195   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,,09:59,1,16,,          ,Off Rebound (1),O,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,15,09:59,1,17,"VOUGIOUKAS, IAN",PTFX      ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,43,09:59,1,18,"RADOSEVIC, LEON",PLEM      ,Foul Drawn (1),RV,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,44,09:11,1,19,"TAYLOR, BRYCE",P001988   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,0,09:08,1,20,"SINGLETON, CHRIS",P006614   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,15,08:58,2,22,"VOUGIOUKAS, IAN",PTFX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,08:56,2,23,"MITROVIC, LUKA",P002553   ,Def Rebound (1),D,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,43,08:44,2,24,"RADOSEVIC, LEON",PLEM      ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,7,08:42,2,25,"NIKOLIC, ALEKSEJ",P003703   ,Assist (1),AS,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,6,08:31,2,26,"ZISIS, NIKOS",PABN      ,Foul (1),CM,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,12,08:31,2,27,"DENMON, MARCUS",P004195   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,08:18,2,28,"CALATHES, NICK",P001932   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,07:58,3,30,"MITROVIC, LUKA",P002553   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,0,07:56,3,31,"SINGLETON, CHRIS",P006614   ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,07:50,3,32,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,07:48,3,33,"CALATHES, NICK",P001932   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,07:46,3,34,"CALATHES, NICK",P001932   ,Two Pointer (1/2 -  5 pt),2FGM,5.0,2.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,7,07:28,3,35,"NIKOLIC, ALEKSEJ",P003703   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,4.0,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,44,07:13,3,36,"TAYLOR, BRYCE",P001988   ,Foul (1),CM,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,24,07:13,3,37,"LOJESKI, MATT",P003608   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,24,07:13,3,38,"LOJESKI, MATT",P003608   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,24,07:13,3,39,"LOJESKI, MATT",P003608   ,Missed Free Throw (0/2 -  0 pt),FTA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,43,07:13,3,40,"RADOSEVIC, LEON",PLEM      ,Def Rebound (1),D,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,44,06:58,4,42,"TAYLOR, BRYCE",P001988   ,Two Pointer (1/2 -  2 pt),2FGM,5.0,6.0,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,15,06:44,4,43,"VOUGIOUKAS, IAN",PTFX      ,Two Pointer (1/2 -  2 pt),2FGM,7.0,6.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,06:42,4,44,"CALATHES, NICK",P001932   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,7,06:24,4,45,"NIKOLIC, ALEKSEJ",P003703   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,24,06:22,4,46,"LOJESKI, MATT",P003608   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,43,06:16,4,47,"RADOSEVIC, LEON",PLEM      ,Foul (1),CM,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,15,06:16,4,48,"VOUGIOUKAS, IAN",PTFX      ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,12,06:07,4,49,"DENMON, MARCUS",P004195   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,12,06:06,4,50,"DENMON, MARCUS",P004195   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,15,06:02,4,51,"VOUGIOUKAS, IAN",PTFX      ,Two Pointer (2/3 -  4 pt),2FGM,9.0,6.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,12,06:00,4,52,"DENMON, MARCUS",P004195   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,6,05:46,5,54,"ZISIS, NIKOS",PABN      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,,05:44,5,55,,          ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,7,05:41,5,56,"NIKOLIC, ALEKSEJ",P003703   ,Foul (1),CM,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,05:41,5,57,"CALATHES, NICK",P001932   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,12,05:16,5,58,"DENMON, MARCUS",P004195   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,,05:16,5,158,,          ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,44,04:56,6,61,"TAYLOR, BRYCE",P001988   ,Two Pointer (2/3 -  4 pt),2FGM,9.0,8.0,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,04:42,6,62,"CALATHES, NICK",P001932   ,Three Pointer (2/2 -  8 pt),3FGM,12.0,8.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,0,04:23,6,63,"SINGLETON, CHRIS",P006614   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,04:23,6,64,"MITROVIC, LUKA",P002553   ,Foul Drawn (1),RV,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
          ,,,04:23,6,65,,          ,TV Time Out (1),TOUT_TV,,,,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,11,04:23,6,66,"PAPPAS, NIKOS",P000464   ,In,IN,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,12,04:23,6,67,"DENMON, MARCUS",P004195   ,Out,OUT,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,0,04:23,6,68,"HACKETT, DANIEL",P001844   ,In,IN,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,2,04:23,6,69,"HICKMAN, RICKY",P004159   ,In,IN,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,6,04:23,6,70,"ZISIS, NIKOS",PABN      ,Out,OUT,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,44,04:23,6,71,"TAYLOR, BRYCE",P001988   ,Out,OUT,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,24,04:11,6,72,"LOJESKI, MATT",P003608   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,2,04:11,6,73,"HICKMAN, RICKY",P004159   ,Foul Drawn (1),RV,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,43,04:04,6,74,"RADOSEVIC, LEON",PLEM      ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,,04:03,6,75,,          ,Off Rebound (2),O,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,21,04:03,6,76,"RUBIT, AUGUSTINE",P006477   ,In,IN,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,43,04:03,6,77,"RADOSEVIC, LEON",PLEM      ,Out,OUT,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,0,03:50,7,79,"HACKETT, DANIEL",P001844   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,03:48,7,80,"CALATHES, NICK",P001932   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,24,03:45,7,81,"LOJESKI, MATT",P003608   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,24,03:45,7,82,"LOJESKI, MATT",P003608   ,Shot Rejected (1),AG,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,03:45,7,83,"MITROVIC, LUKA",P002553   ,Block (1),FV,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,,03:45,7,84,,          ,Off Rebound (3),O,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,0,03:40,7,85,"SINGLETON, CHRIS",P006614   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,0,03:40,7,86,"SINGLETON, CHRIS",P006614   ,Shot Rejected (1),AG,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,21,03:38,7,87,"RUBIT, AUGUSTINE",P006477   ,Block (1),FV,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,03:36,7,88,"MITROVIC, LUKA",P002553   ,Def Rebound (2),D,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,0,03:29,7,89,"SINGLETON, CHRIS",P006614   ,Foul (2),CM,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,21,03:29,7,90,"RUBIT, AUGUSTINE",P006477   ,Foul Drawn (1),RV,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,3,03:29,7,91,"RIVERS, KC",P002429   ,In,IN,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,14,03:29,7,92,"GIST, JAMES",P002980   ,In,IN,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,15,03:29,7,93,"VOUGIOUKAS, IAN",PTFX      ,Out,OUT,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,24,03:29,7,94,"LOJESKI, MATT",P003608   ,Out,OUT,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,21,03:29,7,95,"RUBIT, AUGUSTINE",P006477   ,Free Throw In (1/1 -  1 pt),FTM,12.0,9.0,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,21,03:29,7,96,"RUBIT, AUGUSTINE",P006477   ,Free Throw In (2/2 -  2 pt),FTM,12.0,10.0,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,7,03:29,7,97,"NIKOLIC, ALEKSEJ",P003703   ,Out,OUT,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,12,03:29,7,98,"LO, MAODO",P007032   ,In,IN,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,0,03:08,7,99,"SINGLETON, CHRIS",P006614   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,12,03:06,7,100,"LO, MAODO",P007032   ,Def Rebound (1),D,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,12,03:01,7,101,"LO, MAODO",P007032   ,Two Pointer (1/1 -  2 pt),2FGM,12.0,12.0,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,02:41,8,103,"MITROVIC, LUKA",P002553   ,Foul (1),CM,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,02:41,8,104,"CALATHES, NICK",P001932   ,Foul Drawn (2),RV,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,0,02:41,8,105,"SINGLETON, CHRIS",P006614   ,Out,OUT,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,22,02:41,8,106,"GABRIEL, KENNY",P005881   ,In,IN,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,02:41,8,107,"MITROVIC, LUKA",P002553   ,Out,OUT,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,33,02:41,8,108,"HECKMANN, PATRICK",P006420   ,In,IN,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,02:41,8,109,"CALATHES, NICK",P001932   ,Missed Free Throw (0/1 -  8 pt),FTA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,02:41,8,110,"CALATHES, NICK",P001932   ,Free Throw In (1/2 -  9 pt),FTM,13.0,12.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,2,02:25,8,111,"HICKMAN, RICKY",P004159   ,Turnover (1),TO,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,02:24,8,112,"CALATHES, NICK",P001932   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,33,02:23,8,113,"HECKMANN, PATRICK",P006420   ,Unsportsmanlike Foul  (1),CMU,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,14,02:23,8,114,"GIST, JAMES",P002980   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,14,02:23,8,115,"GIST, JAMES",P002980   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,14,02:23,8,116,"GIST, JAMES",P002980   ,Free Throw In (1/2 -  1 pt),FTM,14.0,12.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,02:23,8,117,"CALATHES, NICK",P001932   ,Assist (2),AS,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,14,02:13,8,118,"GIST, JAMES",P002980   ,Missed Two Pointer (0/1 -  1 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,21,02:11,8,119,"RUBIT, AUGUSTINE",P006477   ,Def Rebound (1),D,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,21,02:04,8,120,"RUBIT, AUGUSTINE",P006477   ,Missed Two Pointer (0/1 -  2 pt),2FGA,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,3,02:02,8,121,"RIVERS, KC",P002429   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,33,01:52,9,123,"HECKMANN, PATRICK",P006420   ,Foul (2),CM,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,11,01:52,9,124,"PAPPAS, NIKOS",P000464   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,11,01:52,9,125,"PAPPAS, NIKOS",P000464   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,11,01:52,9,126,"PAPPAS, NIKOS",P000464   ,Free Throw In (1/2 -  1 pt),FTM,15.0,12.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,12,01:35,9,127,"LO, MAODO",P007032   ,Three Pointer (1/1 -  5 pt),3FGM,15.0,15.0,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,7,01:19,9,128,"NIKOLIC, ALEKSEJ",P003703   ,In,IN,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,12,01:19,9,129,"LO, MAODO",P007032   ,Out,OUT,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,14,01:10,9,130,"GIST, JAMES",P002980   ,Two Pointer (1/2 -  3 pt),2FGM,17.0,15.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,01:08,9,131,"CALATHES, NICK",P001932   ,Assist (3),AS,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,2,00:57,10,133,"HICKMAN, RICKY",P004159   ,Turnover (2),TO,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,14,00:56,10,134,"GIST, JAMES",P002980   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,00:49,10,135,"CALATHES, NICK",P001932   ,Three Pointer (3/3 -  12 pt),3FGM,20.0,15.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,2,00:28,10,136,"HICKMAN, RICKY",P004159   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,3,00:25,10,137,"RIVERS, KC",P002429   ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,00:05,10,138,"CALATHES, NICK",P001932   ,Two Pointer (2/3 -  14 pt),2FGM,22.0,15.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
          ,,,,11,140,,          ,End Period,EP,,,,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
          ,,,,11,145,,          ,Begin Period,BP,,,,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,2,10:00,11,141,"HICKMAN, RICKY",P004159   ,Out,OUT,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,6,10:00,11,142,"ZISIS, NIKOS",PABN      ,In,IN,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,10:00,11,143,"MITROVIC, LUKA",P002553   ,In,IN,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,33,10:00,11,144,"HECKMANN, PATRICK",P006420   ,Out,OUT,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,09:41,11,146,"MITROVIC, LUKA",P002553   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,22,09:39,11,147,"GABRIEL, KENNY",P005881   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,14,09:18,11,148,"GIST, JAMES",P002980   ,Missed Two Pointer (1/3 -  3 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,14,09:18,11,149,"GIST, JAMES",P002980   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,,09:18,11,150,,          ,Turnover (2),TO,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,7,08:58,12,152,"NIKOLIC, ALEKSEJ",P003703   ,Three Pointer (1/2 -  5 pt),3FGM,22.0,18.0,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,08:56,12,153,"MITROVIC, LUKA",P002553   ,Assist (1),AS,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,08:50,12,154,"CALATHES, NICK",P001932   ,Two Pointer (3/4 -  16 pt),2FGM,24.0,18.0,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,21,08:50,12,155,"RUBIT, AUGUSTINE",P006477   ,Foul (1),CM,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,08:50,12,156,"CALATHES, NICK",P001932   ,Foul Drawn (3),RV,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,,08:50,12,157,,          ,Time Out (1),TOUT,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,0,08:50,12,159,"HACKETT, DANIEL",P001844   ,Out,OUT,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,8,08:50,12,160,"STAIGER, LUCCA",P002506   ,In,IN,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
PAN       ,,33,08:50,12,161,"CALATHES, NICK",P001932   ,Missed Free Throw (1/3 -  16 pt),FTA,,,Panathinaikos Superfoods Athens,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
BAM       ,,9,08:50,12,162,"MITROVIC, LUKA",P002553   ,Def Rebound (3),D,,,Brose Bamberg,0,Panathinaikos Superfoods Athens,PAN,Brose Bamberg,BAM
