CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,10,,          ,Begin Period,BP,0.0,0.0,,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,0,0,,,,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,11.0,09:37,1,11,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,9,37,23.0,23.0,,2.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,17.0,09:35,1,12,"MANTZARIS, VANGELIS",P003537   ,Assist (1),AS,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,9,35,25.0,25.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,3.0,09:13,1,13,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/1 -  0 pt),2FGA,2.0,0.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,9,13,47.0,47.0,22.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,17.0,09:11,1,14,"MANTZARIS, VANGELIS",P003537   ,Def Rebound (1),D,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,9,11,49.0,49.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,16.0,09:09,1,15,"PAPANIKOLAOU, KOSTAS",P001255   ,Offensive Foul (1),OF,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,9,9,51.0,51.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,16.0,09:09,1,16,"PAPANIKOLAOU, KOSTAS",P001255   ,Turnover (1),TO,2.0,0.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,9,9,51.0,51.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,2.0,09:09,1,17,"HICKMAN, RICKY",P004159   ,Foul Drawn (1),RV,2.0,0.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,9,9,51.0,51.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,3.0,08:41,2,19,"WRIGHT, DORELL",P008049   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,8,41,19.0,79.0,28.0,0.0,3.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,6.0,08:38,2,20,"ZISIS, NIKOS",PABN      ,Assist (1),AS,2.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,8,38,22.0,82.0,3.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,7.0,08:13,2,21,"SPANOULIS, VASSILIS",PJUO      ,Two Pointer (1/1 -  2 pt),2FGM,4.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,8,13,47.0,107.0,25.0,2.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,21.0,07:55,3,23,"RUBIT, AUGUSTINE",P006477   ,Missed Two Pointer (0/1 -  0 pt),2FGA,4.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,55,5.0,125.0,18.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,16.0,07:51,3,24,"PAPANIKOLAOU, KOSTAS",P001255   ,Def Rebound (1),D,4.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,51,9.0,129.0,4.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,7.0,07:42,3,25,"SPANOULIS, VASSILIS",PJUO      ,Missed Two Pointer (1/2 -  2 pt),2FGA,4.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,42,18.0,138.0,9.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,7.0,07:42,3,26,"SPANOULIS, VASSILIS",PJUO      ,Shot Rejected (1),AG,4.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,42,18.0,138.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,43.0,07:40,3,27,"RADOSEVIC, LEON",PLEM      ,Block (1),FV,4.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,40,20.0,140.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,2.0,07:39,3,28,"HICKMAN, RICKY",P004159   ,Def Rebound (1),D,4.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,39,21.0,141.0,1.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,6.0,07:35,3,29,"ZISIS, NIKOS",PABN      ,Offensive Foul (1),OF,4.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,35,25.0,145.0,4.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,6.0,07:35,3,30,"ZISIS, NIKOS",PABN      ,Turnover (1),TO,4.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,35,25.0,145.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,15.0,07:35,3,31,"PRINTEZIS, GEORGIOS",PAMM      ,Foul Drawn (1),RV,4.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,35,25.0,145.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,11.0,07:15,3,32,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (2/2 -  4 pt),2FGM,6.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,15,45.0,165.0,20.0,2.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,7.0,07:13,3,33,"SPANOULIS, VASSILIS",PJUO      ,Assist (1),AS,6.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,13,47.0,167.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,43.0,07:03,3,34,"RADOSEVIC, LEON",PLEM      ,Turnover (1),TO,6.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,3,57.0,177.0,10.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,17.0,07:02,3,35,"MANTZARIS, VANGELIS",P003537   ,Steal (1),ST,6.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,7,2,58.0,178.0,1.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,17.0,06:58,4,37,"MANTZARIS, VANGELIS",P003537   ,Missed Three Pointer (0/1 -  0 pt),3FGA,6.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,6,58,2.0,182.0,4.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,3.0,06:56,4,38,"WRIGHT, DORELL",P008049   ,Def Rebound (1),D,6.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,6,56,4.0,184.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,3.0,06:46,4,39,"WRIGHT, DORELL",P008049   ,Turnover (1),TO,6.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,6,46,14.0,194.0,10.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,43.0,06:28,4,40,"RADOSEVIC, LEON",PLEM      ,Foul (1),CM,6.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,6,28,32.0,212.0,18.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,11.0,06:28,4,41,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (1),RV,6.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,6,28,32.0,212.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,11.0,06:28,4,42,"MILUTINOV, NIKOLA",P003941   ,Free Throw In (1/1 -  5 pt),FTM,7.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,6,28,32.0,212.0,0.0,1.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,7.0,06:28,4,43,"SPANOULIS, VASSILIS",PJUO      ,Assist (2),AS,7.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,6,28,32.0,212.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,11.0,06:28,4,44,"MILUTINOV, NIKOLA",P003941   ,Free Throw In (2/2 -  6 pt),FTM,8.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,6,28,32.0,212.0,0.0,1.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,43.0,06:03,4,45,"RADOSEVIC, LEON",PLEM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,8.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,6,3,57.0,237.0,25.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,17.0,06:01,4,46,"MANTZARIS, VANGELIS",P003537   ,Def Rebound (2),D,8.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,6,1,59.0,239.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,15.0,05:59,5,48,"PRINTEZIS, GEORGIOS",PAMM      ,Two Pointer (1/1 -  2 pt),2FGM,10.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,59,1.0,241.0,2.0,2.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,7.0,05:59,5,49,"SPANOULIS, VASSILIS",PJUO      ,Assist (3),AS,10.0,3.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,59,1.0,241.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,,05:57,5,50,,          ,Time Out (1),TOUT,10.0,3.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,57,3.0,243.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,2.0,05:45,5,51,"HICKMAN, RICKY",P004159   ,Three Pointer (1/1 -  3 pt),3FGM,10.0,6.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,45,15.0,255.0,12.0,0.0,3.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,7.0,05:29,5,52,"SPANOULIS, VASSILIS",PJUO      ,Missed Three Pointer (0/1 -  2 pt),3FGA,10.0,6.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,29,31.0,271.0,16.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,,05:27,5,53,,          ,Def Rebound (1),D,10.0,6.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,27,33.0,273.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,2.0,05:14,5,54,"HICKMAN, RICKY",P004159   ,Two Pointer (1/1 -  5 pt),2FGM,10.0,8.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,14,46.0,286.0,13.0,0.0,2.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,6.0,05:00,5,55,"ZISIS, NIKOS",PABN      ,Foul (2),CM,10.0,8.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,0,0.0,286.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
OLY,11.0,05:00,5,56,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (2),RV,10.0,8.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,0,0.0,240.0,-46.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,6.0,05:00,5,57,"ZISIS, NIKOS",PABN      ,Out,OUT,10.0,8.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,0,0.0,240.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","ZISIS, NIKOS","RUBIT, AUGUSTINE","RADOSEVIC, LEON"
BAM,7.0,05:00,5,58,"NIKOLIC, ALEKSEJ",P003703   ,In,IN,10.0,8.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,5,0,0.0,240.0,0.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","RUBIT, AUGUSTINE","RADOSEVIC, LEON","NIKOLIC, ALEKSEJ"
OLY,7.0,04:53,6,60,"SPANOULIS, VASSILIS",PJUO      ,Two Pointer (2/3 -  4 pt),2FGM,12.0,8.0,Olympiacos Piraeus,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,4,53,7.0,307.0,67.0,2.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","RUBIT, AUGUSTINE","RADOSEVIC, LEON","NIKOLIC, ALEKSEJ"
BAM,3.0,04:40,6,61,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/2 -  3 pt),2FGA,12.0,8.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,4,40,20.0,320.0,13.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","RUBIT, AUGUSTINE","RADOSEVIC, LEON","NIKOLIC, ALEKSEJ"
BAM,43.0,04:38,6,62,"RADOSEVIC, LEON",PLEM      ,Off Rebound (1),O,12.0,8.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,4,38,22.0,322.0,2.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","RUBIT, AUGUSTINE","RADOSEVIC, LEON","NIKOLIC, ALEKSEJ"
BAM,2.0,04:32,6,63,"HICKMAN, RICKY",P004159   ,Two Pointer (2/2 -  7 pt),2FGM,12.0,10.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,4,32,28.0,328.0,6.0,0.0,2.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","RUBIT, AUGUSTINE","RADOSEVIC, LEON","NIKOLIC, ALEKSEJ"
BAM,7.0,04:19,6,64,"NIKOLIC, ALEKSEJ",P003703   ,Foul (1),CM,12.0,10.0,Brose Bamberg,Olympiacos Piraeus,OLY,Brose Bamberg,BAM,4,19,41.0,341.0,13.0,0.0,0.0,"MILUTINOV, NIKOLA","MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","SPANOULIS, VASSILIS","PRINTEZIS, GEORGIOS","WRIGHT, DORELL","HICKMAN, RICKY","RUBIT, AUGUSTINE","RADOSEVIC, LEON","NIKOLIC, ALEKSEJ"
