CODETEAM,JERSEY,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,home_team,home_team_code,away_team,away_team_code,Q_MIN,Q_SEC,SECOND,GAME_SECONDS,SECONDS_TO_NEXT_PLAY,SCORE_A,SCORE_B,home_team_player_1,home_team_player_2,home_team_player_3,home_team_player_4,home_team_player_5,away_team_player_1,away_team_player_2,away_team_player_3,away_team_player_4,away_team_player_5
   ,,,1,2,,          ,Begin Period,BP,0.0,0.0,,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,0,0,,,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,23.0,09:36,1,3,"THOMAS, MALCOLM",P004251   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,23.0,09:36,1,4,"THOMAS, MALCOLM",P004251   ,Shot Rejected (1),AG,0.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,14.0,09:36,1,5,"GIST, JAMES",P002980   ,Block (1),FV,0.0,0.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,,09:36,1,6,,          ,Off Rebound (1),O,0.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,9.0,09:36,1,7,"MARKOVIC, STEFAN",PLME      ,Turnover (1),TO,0.0,0.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,14.0,09:36,1,8,"GIST, JAMES",P002980   ,Steal (1),ST,0.0,0.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,33.0,09:36,1,9,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/1 -  0 pt),2FGA,0.0,0.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,43.0,09:36,1,10,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Off Rebound (1),O,0.0,0.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,43.0,09:36,1,11,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Two Pointer (1/1 -  2 pt),2FGM,0.0,2.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,2.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,1.0,09:36,1,12,"SHVED, ALEXEY",PKVZ      ,Foul Drawn (1),RV,0.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,43.0,09:36,1,13,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Foul (1),CM,0.0,2.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,36,24.0,24.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,13.0,09:05,1,14,"GILL, ANTHONY",P008001   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,5,55.0,55.0,31.0,3.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,1.0,09:03,1,15,"SHVED, ALEXEY",PKVZ      ,Assist (1),AS,3.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,9,3,57.0,57.0,2.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,33.0,08:41,2,17,"CALATHES, NICK",P001932   ,Turnover (1),TO,3.0,2.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,8,41,19.0,79.0,22.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,1.0,08:39,2,18,"SHVED, ALEXEY",PKVZ      ,Steal (1),ST,3.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,8,39,21.0,81.0,2.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,13.0,08:25,2,19,"GILL, ANTHONY",P008001   ,Two Pointer (1/1 -  5 pt),2FGM,5.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,8,25,35.0,95.0,14.0,2.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,1.0,08:23,2,20,"SHVED, ALEXEY",PKVZ      ,Assist (2),AS,5.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,8,23,37.0,97.0,2.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,0.0,08:07,2,21,"SINGLETON, CHRIS",P006614   ,Turnover (1),TO,5.0,2.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,8,7,53.0,113.0,16.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,23.0,07:55,3,23,"THOMAS, MALCOLM",P004251   ,Foul Drawn (1),RV,5.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,7,55,5.0,125.0,12.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,43.0,07:55,3,24,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Foul (2),CM,5.0,2.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,7,55,5.0,125.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,5.0,07:51,3,25,"JAMES, MIKE",P005985   ,Foul Drawn (1),RV,5.0,2.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,7,51,9.0,129.0,4.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,13.0,07:51,3,26,"GILL, ANTHONY",P008001   ,Offensive Foul (1),OF,5.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,7,51,9.0,129.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,13.0,07:51,3,27,"GILL, ANTHONY",P008001   ,Turnover (1),TO,5.0,2.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,7,51,9.0,129.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,5.0,07:35,3,28,"JAMES, MIKE",P005985   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,4.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,7,35,25.0,145.0,16.0,0.0,2.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,13.0,07:13,3,29,"GILL, ANTHONY",P008001   ,Foul Drawn (1),RV,5.0,4.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,7,13,47.0,167.0,22.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,0.0,07:13,3,30,"SINGLETON, CHRIS",P006614   ,Foul (1),CM,5.0,4.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,7,13,47.0,167.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,13.0,07:13,3,31,"GILL, ANTHONY",P008001   ,Free Throw In (1/1 -  6 pt),FTM,6.0,4.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,7,13,47.0,167.0,0.0,1.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,13.0,07:13,3,32,"GILL, ANTHONY",P008001   ,Free Throw In (2/2 -  7 pt),FTM,7.0,4.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,7,13,47.0,167.0,0.0,1.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,0.0,06:59,4,34,"SINGLETON, CHRIS",P006614   ,Turnover (2),TO,7.0,4.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,6,59,1.0,181.0,14.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,1.0,06:46,4,35,"SHVED, ALEXEY",PKVZ      ,Two Pointer (1/1 -  2 pt),2FGM,9.0,4.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,6,46,14.0,194.0,13.0,2.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,9.0,06:44,4,36,"MARKOVIC, STEFAN",PLME      ,Assist (1),AS,9.0,4.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,6,44,16.0,196.0,2.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,14.0,06:29,4,37,"GIST, JAMES",P002980   ,Two Pointer (1/1 -  2 pt),2FGM,9.0,6.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,6,29,31.0,211.0,15.0,0.0,2.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,5.0,06:28,4,38,"JAMES, MIKE",P005985   ,Assist (1),AS,9.0,6.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,6,28,32.0,212.0,1.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,1.0,06:12,4,39,"SHVED, ALEXEY",PKVZ      ,Three Pointer (1/1 -  5 pt),3FGM,12.0,6.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,6,12,48.0,228.0,16.0,3.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,33.0,05:55,5,41,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/2 -  0 pt),2FGA,12.0,6.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,55,5.0,245.0,17.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,43.0,05:55,5,42,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Off Rebound (2),O,12.0,6.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,55,5.0,245.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,43.0,05:55,5,43,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Missed Two Pointer (1/2 -  2 pt),2FGA,12.0,6.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,55,5.0,245.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,23.0,05:55,5,44,"THOMAS, MALCOLM",P004251   ,Def Rebound (1),D,12.0,6.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,55,5.0,245.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,23.0,05:55,5,45,"THOMAS, MALCOLM",P004251   ,Two Pointer (1/2 -  2 pt),2FGM,14.0,6.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,55,5.0,245.0,0.0,2.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
KHI,9.0,05:55,5,46,"MARKOVIC, STEFAN",PLME      ,Assist (2),AS,14.0,6.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,55,5.0,245.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,,05:41,5,47,,          ,Time Out (1),TOUT,14.0,6.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,41,19.0,259.0,14.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,3.0,05:41,5,48,"RIVERS, KC",P002429   ,In,IN,14.0,6.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,41,19.0,259.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","ANTETOKOUNMPO, ATHANASIOS","SINGLETON, CHRIS","JAMES, MIKE"
PAN,43.0,05:41,5,49,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Out,OUT,14.0,6.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,41,19.0,259.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
PAN,3.0,05:16,5,50,"RIVERS, KC",P002429   ,Three Pointer (1/1 -  3 pt),3FGM,14.0,9.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,16,44.0,284.0,25.0,0.0,3.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
PAN,5.0,05:14,5,51,"JAMES, MIKE",P005985   ,Assist (2),AS,14.0,9.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,5,14,46.0,286.0,2.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
KHI,21.0,04:54,6,53,"ANDERSON, JAMES",P005938   ,Missed Two Pointer (0/1 -  0 pt),2FGA,14.0,9.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,4,54,6.0,306.0,20.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
PAN,5.0,04:52,6,54,"JAMES, MIKE",P005985   ,Def Rebound (1),D,14.0,9.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,4,52,8.0,308.0,2.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
PAN,33.0,04:50,6,55,"CALATHES, NICK",P001932   ,Foul Drawn (1),RV,14.0,9.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,4,50,10.0,310.0,2.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
KHI,9.0,04:50,6,56,"MARKOVIC, STEFAN",PLME      ,Foul (1),CM,14.0,9.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,4,50,10.0,310.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
PAN,0.0,04:50,6,57,"SINGLETON, CHRIS",P006614   ,Foul Drawn (1),RV,14.0,9.0,Panathinaikos Superfoods Athens,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,4,50,10.0,310.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
KHI,13.0,04:50,6,58,"GILL, ANTHONY",P008001   ,Foul (2),CM,14.0,9.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,4,50,10.0,310.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
KHI,12.0,04:50,6,59,"MONIA, SERGEY",PBFX      ,In,IN,14.0,9.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,4,50,10.0,310.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","GILL, ANTHONY","ANDERSON, JAMES","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
KHI,13.0,04:50,6,60,"GILL, ANTHONY",P008001   ,Out,OUT,14.0,9.0,Khimki Moscow Region,Khimki Moscow Region,KHI,Panathinaikos Superfoods Athens,PAN,4,50,10.0,310.0,0.0,0.0,0.0,"THOMAS, MALCOLM","MARKOVIC, STEFAN","SHVED, ALEXEY","ANDERSON, JAMES","MONIA, SERGEY","GIST, JAMES","CALATHES, NICK","SINGLETON, CHRIS","JAMES, MIKE","RIVERS, KC"
