CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
KHI       ,,13,09:41,1,3,"GILL, ANTHONY",P008001   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,,Khimki Moscow Region,0
KHI       ,,22,09:39,1,4,"JENKINS, CHARLES",P005014   ,Assist (1),AS,,,Khimki Moscow Region,0
BAM       ,,21,09:21,1,5,"RUBIT, AUGUSTINE",P006477   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
KHI       ,,23,09:19,1,6,"THOMAS, MALCOLM",P004251   ,Def Rebound (1),D,,,Khimki Moscow Region,0
KHI       ,,22,09:03,1,7,"JENKINS, CHARLES",P005014   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Khimki Moscow Region,0
BAM       ,,44,09:01,1,8,"TAYLOR, BRYCE",P001988   ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,2,08:48,2,10,"HICKMAN, RICKY",P004159   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Brose Bamberg,0
KHI       ,,1,08:45,2,11,"SHVED, ALEXEY",PKVZ      ,Def Rebound (1),D,,,Khimki Moscow Region,0
KHI       ,,21,08:19,2,12,"ANDERSON, JAMES",P005938   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Khimki Moscow Region,0
BAM       ,,21,08:17,2,13,"RUBIT, AUGUSTINE",P006477   ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,0,08:07,2,14,"HACKETT, DANIEL",P001844   ,Two Pointer (1/1 -  2 pt),2FGM,3.0,2.0,Brose Bamberg,0
KHI       ,,1,07:50,3,16,"SHVED, ALEXEY",PKVZ      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Khimki Moscow Region,0
KHI       ,,1,07:50,3,17,"SHVED, ALEXEY",PKVZ      ,Shot Rejected (1),AG,,,Khimki Moscow Region,0
BAM       ,,44,07:49,3,18,"TAYLOR, BRYCE",P001988   ,Block (1),FV,,,Brose Bamberg,0
BAM       ,,0,07:47,3,19,"HACKETT, DANIEL",P001844   ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,21,07:37,3,20,"RUBIT, AUGUSTINE",P006477   ,Foul Drawn (1),RV,,,Brose Bamberg,0
KHI       ,,23,07:37,3,21,"THOMAS, MALCOLM",P004251   ,Foul (1),CM,,,Khimki Moscow Region,0
BAM       ,,0,07:27,3,22,"HACKETT, DANIEL",P001844   ,Two Pointer (2/2 -  4 pt),2FGM,3.0,4.0,Brose Bamberg,0
KHI       ,,23,07:09,3,23,"THOMAS, MALCOLM",P004251   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,4.0,Khimki Moscow Region,0
KHI       ,,1,07:06,3,24,"SHVED, ALEXEY",PKVZ      ,Assist (1),AS,,,Khimki Moscow Region,0
BAM       ,,3,06:56,4,26,"WRIGHT, DORELL",P008049   ,Foul Drawn (1),RV,,,Brose Bamberg,0
KHI       ,,13,06:56,4,27,"GILL, ANTHONY",P008001   ,Foul (1),CM,,,Khimki Moscow Region,0
BAM       ,,3,06:56,4,28,"WRIGHT, DORELL",P008049   ,Free Throw In (1/1 -  1 pt),FTM,5.0,5.0,Brose Bamberg,0
BAM       ,,2,06:56,4,29,"HICKMAN, RICKY",P004159   ,Assist (1),AS,,,Brose Bamberg,0
BAM       ,,3,06:56,4,30,"WRIGHT, DORELL",P008049   ,Free Throw In (2/2 -  2 pt),FTM,5.0,6.0,Brose Bamberg,0
BAM       ,,3,06:56,4,31,"WRIGHT, DORELL",P008049   ,Free Throw In (3/3 -  3 pt),FTM,5.0,7.0,Brose Bamberg,0
KHI       ,,21,06:41,4,32,"ANDERSON, JAMES",P005938   ,Turnover (1),TO,,,Khimki Moscow Region,0
BAM       ,,0,06:41,4,33,"HACKETT, DANIEL",P001844   ,Steal (1),ST,,,Brose Bamberg,0
BAM       ,,2,06:41,4,34,"HICKMAN, RICKY",P004159   ,Turnover (1),TO,,,Brose Bamberg,0
KHI       ,,13,06:24,4,35,"GILL, ANTHONY",P008001   ,Two Pointer (1/1 -  5 pt),2FGM,7.0,7.0,Khimki Moscow Region,0
BAM       ,,21,06:20,4,36,"RUBIT, AUGUSTINE",P006477   ,Two Pointer (1/2 -  2 pt),2FGM,7.0,9.0,Brose Bamberg,0
KHI       ,,23,05:53,5,38,"THOMAS, MALCOLM",P004251   ,Foul Drawn (1),RV,,,Khimki Moscow Region,0
BAM       ,,2,05:53,5,39,"HICKMAN, RICKY",P004159   ,Foul (1),CM,,,Brose Bamberg,0
BAM       ,,21,05:53,5,40,"RUBIT, AUGUSTINE",P006477   ,Out,OUT,,,Brose Bamberg,0
BAM       ,,43,05:53,5,41,"RADOSEVIC, LEON",PLEM      ,In,IN,,,Brose Bamberg,0
KHI       ,,1,05:44,5,42,"SHVED, ALEXEY",PKVZ      ,Two Pointer (1/2 -  2 pt),2FGM,9.0,9.0,Khimki Moscow Region,0
BAM       ,,2,05:24,5,43,"HICKMAN, RICKY",P004159   ,Three Pointer (1/2 -  3 pt),3FGM,9.0,12.0,Brose Bamberg,0
KHI       ,,21,05:03,5,44,"ANDERSON, JAMES",P005938   ,Foul Drawn (1),RV,,,Khimki Moscow Region,0
BAM       ,,3,05:03,5,45,"WRIGHT, DORELL",P008049   ,Foul (1),CM,,,Brose Bamberg,0
BAM       ,,0,05:03,5,46,"HACKETT, DANIEL",P001844   ,Out,OUT,,,Brose Bamberg,0
BAM       ,,6,05:03,5,47,"ZISIS, NIKOS",PABN      ,In,IN,,,Brose Bamberg,0
KHI       ,,1,04:57,6,49,"SHVED, ALEXEY",PKVZ      ,Three Pointer (1/1 -  5 pt),3FGM,12.0,12.0,Khimki Moscow Region,0
KHI       ,,22,04:55,6,50,"JENKINS, CHARLES",P005014   ,Assist (2),AS,,,Khimki Moscow Region,0
BAM       ,,43,04:39,6,51,"RADOSEVIC, LEON",PLEM      ,Turnover (1),TO,,,Brose Bamberg,0
KHI       ,,1,04:37,6,52,"SHVED, ALEXEY",PKVZ      ,Steal (1),ST,,,Khimki Moscow Region,0
